x,y Numerical,y Analytical,y Error (%)
0.0,1.3840466013898835e-18,0.0,inf
0.005025125628140704,0.007796233230020008,0.007796233230536294,-6.622246712846079e-09
0.010050251256281407,0.015592746367590024,0.01559274636621922,8.791296153824326e-09
0.01507537688442211,0.02338981933891996,0.02338981934046809,-6.618818458885351e-09
0.020100502512562814,0.031187732145987145,0.03118773214325076,8.773911560672922e-09
0.02512562814070352,0.038986764846786905,0.03898676484936471,-6.612002904461165e-09
0.03015075376884422,0.046787197650817736,0.04678719764672708,8.743114726558043e-09
0.035175879396984924,0.054589310861072236,0.05458931086467601,-6.601616583827052e-09
0.04020100502512563,0.062393385007714165,0.06239338500228629,8.699437333460258e-09
0.04522613065326633,0.07019970075207731,0.07019970075670193,-6.5878060468039414e-09
0.05025125628140704,0.07800853905823163,0.07800853905148919,8.643207553533966e-09
0.05527638190954774,0.08582018105937317,0.08582018106501206,-6.5705898787821635e-09
0.06030150753768844,0.09363490826686251,0.09363490825883367,8.57462417579473e-09
0.06532663316582915,0.10145300239950113,0.10145300240614626,-6.549957846480485e-09
0.07035175879396985,0.10927474562951466,0.10927474562023266,8.494178402447277e-09
0.07537688442211056,0.11710042037532037,0.11710042038296217,-6.525855185986074e-09
0.08040201005025126,0.12493030958382023,0.12493030957332346,8.40210046354806e-09
0.08542713567839195,0.13276469648737024,0.13276469649599776,-6.498350537822798e-09
0.09045226130653267,0.1406038649216435,0.14060386490997515,8.298748209769684e-09
0.09547738693467336,0.14844809904761563,0.14844809905721643,-6.4674404349385985e-09
0.10050251256281408,0.15629768370415595,0.15629768369136401,8.184340213153537e-09
0.10552763819095477,0.1641529040959443,0.1641529041065044,-6.4330926100920975e-09
0.11055276381909548,0.17201404617984853,0.17201404616598553,8.05922213621682e-09
0.11557788944723618,0.1798813963197867,0.17988139633129085,-6.395413295299347e-09
0.12060301507537688,0.187755241705852,0.1877552416909748,7.923725825491644e-09
0.12562814070351758,0.1956358699772299,0.1956358699896611,-6.354251376785072e-09
0.1306532663316583,0.20352356967293736,0.20352356965710722,7.77803906390977e-09
0.135678391959799,0.2114186298239981,0.21141862983733817,-6.309793536963372e-09
0.1407035175879397,0.2193213404345704,0.21932134041785273,7.622460615006145e-09
0.1457286432160804,0.22723199204467512,0.22723199205890426,-6.261946440994167e-09
0.15075376884422112,0.235150876240396,0.23515087622286013,7.457281016053957e-09
0.15577889447236182,0.24307828518854444,0.24307828520364144,-6.210759206744654e-09
0.16080402010050251,0.2510145121745283,0.25101451215624754,7.282752552029746e-09
0.1658291457286432,0.2589598511104249,0.25895985112636705,-6.156219363913304e-09
0.1708542713567839,0.26691459709902715,0.26691459708007875,7.099049139001432e-09
0.17587939698492464,0.2748790459168827,0.2748790459336459,-6.098392069401514e-09
0.18090452261306533,0.28285349460294146,0.28285349458340625,6.906475316601636e-09
0.18592964824120603,0.290838240918202,0.2908382409357607,-6.03728457078568e-09
0.19095477386934673,0.2988335839573025,0.2988335839372649,6.705264662755421e-09
0.19597989949748745,0.3068398235864976,0.30683982360482487,-5.972915744587119e-09
0.20100502512562815,0.31485726107645357,0.31485726105600154,6.495651042218108e-09
0.20603015075376885,0.32288619852035866,0.322886198539426,-5.905287649091894e-09
0.21105527638190955,0.33092693948610435,0.3309269394653293,6.277835337873667e-09
0.21608040201005024,0.33897978841641163,0.33897978843618926,-5.834455226435428e-09
0.22110552763819097,0.34704505129850144,0.34704505127749796,6.052089392515337e-09
0.22613065326633167,0.35512303504819615,0.35512303506865267,-5.760405082868987e-09
0.23115577889447236,0.3632140481951074,0.3632140481739735,5.818572419240325e-09
0.23618090452261306,0.3713184002527479,0.37131840027385066,-5.683190129671167e-09
0.24120603015075376,0.379436402417188,0.379436402396025,5.577486938684723e-09
0.24623115577889448,0.3875683669252893,0.38756836694700425,-5.602872941360352e-09
0.25125628140703515,0.3957146077647065,0.3957146077436185,5.3290982456232434e-09
0.2562814070351759,0.4038754400224274,0.403875440044719,-5.519413977318539e-09
0.2613065326633166,0.41205118060392687,0.41205118058302126,5.073547064326888e-09
0.2663316582914573,0.4202421475742665,0.4202421475970979,-5.43291613300965e-09
0.271356783919598,0.4284486608841368,0.42844866086352384,4.811067852367248e-09
0.2763819095477387,0.43667104170584264,0.43667104172917576,-5.343407505782879e-09
0.2814070351758794,0.44490961316389827,0.4449096131436912,4.541834487710607e-09
0.2864321608040201,0.4531646996682942,0.4531646996920894,-5.250891796813412e-09
0.2914572864321608,0.4614366276472418,0.46143662762755655,4.266079510969147e-09
0.2964824120603015,0.4697257248801842,0.4697257249044007,-5.155447292951359e-09
0.30150753768844224,0.4780323212302216,0.47803232121117734,3.98388672042236e-09
0.3065326633165829,0.48635674797939515,0.486356748003991,-5.057157215837099e-09
0.31155778894472363,0.49469933855825704,0.4946993385399753,3.6955305104514503e-09
0.3165829145728643,0.5030604278860227,0.5030604279109543,-4.955987580602436e-09
0.32160804020100503,0.511440353094685,0.5114403530772902,3.40115190810838e-09
0.32663316582914576,0.5198394528766952,0.5198394529019181,-4.852062441788735e-09
0.3316582914572864,0.5282580682009561,0.528258068184575,3.1009689525490877e-09
0.33668341708542715,0.5366965416707551,0.5366965416962234,-4.745380706162911e-09
0.3417085427135678,0.5451552182289109,0.5451552182136732,2.795112195863712e-09
0.34673366834170855,0.5536344445287414,0.5536344445544079,-4.635995683189363e-09
0.35175879396984927,0.5621345696255784,0.5621345696116159,2.483835469190265e-09
0.35678391959798994,0.5706559443636144,0.5706559443894311,-4.5240363093117166e-09
0.36180904522613067,0.5791989220509408,0.5791989220383882,2.1672391173390177e-09
0.36683417085427134,0.5877638578651754,0.587763857891093,-4.40952621540133e-09
0.37185929648241206,0.5963511095091198,0.5963511094981144,1.8454595997593343e-09
0.3768844221105528,0.6049610366381318,0.6049610366641002,-4.292563820933488e-09
0.38190954773869346,0.6135940014934387,0.6135940014841197,1.5187550728264122e-09
0.3869346733668342,0.6222503683542715,0.6222503683802392,-4.1731871568623115e-09
0.3919597989949749,0.6309305041458212,0.6309305041383311,1.1871544625763433e-09
0.3969849246231156,0.6396347779192073,0.6396347779451225,-4.051555637884841e-09
0.4020100502512563,0.6483635614310035,0.6483635614254861,8.509676779254454e-10
0.40703517587939697,0.6571172286541686,0.657117228679978,-3.927680564335488e-09
0.4120603015075377,0.6658961563260217,0.6658961563226238,5.102820547775414e-10
0.4170854271356784,0.6747007234933113,0.6747007235189613,-3.80167468820033e-09
0.4221105527638191,0.6835313120254671,0.6835313120243376,1.6525079179012302e-10
0.4271356783919598,0.6923883061970361,0.6923883062224716,-3.6735950524411397e-09
0.4321608040201005,0.7012720931629888,0.7012720931642786,-1.8393104796020273e-10
0.4371859296482412,0.7101830625817999,0.7101830626069661,-3.543621888547249e-09
0.44221105527638194,0.7191216070495398,0.7191216070534023,-5.371243037461042e-10
0.4472361809045226,0.7280881217669215,0.7280881217917627,-3.4118452742857148e-09
0.45226130653266333,0.7370830049288662,0.7370830049354573,-8.94208791433105e-10
0.457286432160804,0.7461066574388834,0.7461066574633431,-3.278320505527509e-09
0.4623115577889447,0.7551594832507501,0.7551594832602267,-1.2549192460223366e-09
0.46733668341708545,0.7642418891336386,0.7642418891576602,-3.1432029413731867e-09
0.4723618090452261,0.7733542849625114,0.7733542849750337,-1.6192211978826578e-09
0.47738693467336685,0.7824970835374451,0.7824970835609719,-3.006637038194271e-09
0.4824120603015075,0.7916707008193038,0.7916707008350339,-1.986947841508771e-09
0.48743718592964824,0.8008755558067508,0.8008755558297256,-2.8687020174046527e-09
0.49246231155778897,0.8101120707137237,0.8101120707328249,-2.3578423015956344e-09
0.49748743718592964,0.8193806709076609,0.8193806709300264,-2.7295681539559064e-09
0.5025125628140703,0.8286817850252708,0.828681785047909,-2.731835674041681e-09
0.507537688442211,0.8380158449755317,0.838015844997231,-2.589367390346943e-09
0.5125628140703518,0.8473832859902134,0.8473832860165559,-3.108685784176695e-09
0.5175879396984925,0.8567845466952403,0.8567845467162161,-2.4481973620490684e-09
0.5226130653266332,0.8662200690923985,0.8662200691226154,-3.48836757982637e-09
0.5276381909547738,0.8756902987026817,0.8756902987228782,-2.3063531889779997e-09
0.5326633165829145,0.8851956844755842,0.8851956845098471,-3.8706611915800854e-09
0.5376884422110553,0.8947366790080734,0.8947366790274345,-2.1638844989769322e-09
0.542713567839196,0.9043137383778519,0.904313738416334,-4.255393317117856e-09
0.5477386934673367,0.9139273224416234,0.9139273224600941,-2.0210216922574578e-09
0.5527638190954774,0.9235778945886836,0.92357789463156,-4.642432478445225e-09
0.5577889447236181,0.9332659221221629,0.9332659221396888,-1.8779192779857525e-09
0.5628140703517588,0.9429918759292938,0.9429918759767417,-5.031637671445112e-09
0.5678391959798995,0.9527562309493286,0.9527562309658568,-1.734779862604163e-09
0.5728643216080402,0.9625594657568136,0.9625594658090117,-5.422847788380785e-09
0.577889447236181,0.972402063119897,0.9724020631353758,-1.5918148488616959e-09
0.5829145728643216,0.9822845094929312,0.9822845095500596,-5.8158723420567074e-09
0.5879396984924623,0.9922072956688883,0.9922072956832672,-1.4491761470999914e-09
0.592964824120603,1.0021709161776113,1.002170916239852,-6.210583051666263e-09
0.5979899497487438,1.0121758700360575,1.0121758700492882,-1.3071591825656385e-09
0.6030150753768845,1.0222226600485185,1.022222660116055,-6.606820953520558e-09
0.6080402010050251,1.0323117936584094,1.032311793670445,-1.1658768014224276e-09
0.6130653266331658,1.042443782146783,1.0424437822197996,-7.0043780815550825e-09
0.6180904522613065,1.0526191415893782,1.0526191416001742,-1.0256350382958076e-09
0.6231155778894473,1.0628383919497582,1.0628383920284423,-7.403211144854682e-09
0.628140703517588,1.073102058145327,1.0731020581548423,-8.867075952881425e-10
0.6331658291457286,1.083410669031431,1.0834106691159704,-7.80308787168384e-09
0.6381909547738693,1.0937647585800343,1.09376475858823,-7.493079570749208e-10
0.6432160804020101,1.1041648647511515,1.104164864841735,-8.203805749729243e-09
0.6482412060301508,1.1146115307878413,1.1146115307946818,-6.137141017237069e-10
0.6532663316582915,1.1251053039713677,1.1251053040681864,-8.605307864890175e-09
0.6582914572864321,1.1356467370361476,1.1356467370416006,-4.801644058744975e-10
0.6633165829145728,1.146236386805061,1.1462363869083068,-9.007379061426564e-09
0.6683417085427136,1.1568748157279596,1.1568748157319972,-3.4901434805649165e-10
0.6733668341708543,1.1675625903935838,1.1675625905034497,-9.40985049141496e-09
0.678391959798995,1.1783002831951985,1.178300283197797,-2.2051814837733841e-10
0.6834170854271356,1.1890884707156208,1.1890884708323008,-9.812558262745198e-09
0.6884422110552764,1.1999277355234976,1.1999277355246374,-9.49852998090637e-11
0.6934673366834171,1.2108186644280037,1.2108186645516938,-1.0215416464850247e-08
0.6984924623115578,1.2217618504092216,1.221761850408889,2.7224848939781308e-11
0.7035175879396985,1.2327578907391248,1.232757890870021,-1.0618158176164296e-08
0.7085427135678392,1.2438073890494599,1.2438073890476464,1.4579735611727126e-10
0.7135678391959799,1.2549109533157015,1.2549109534540015,-1.102070531041988e-08
0.7185929648241206,1.2660691980657612,1.2660691980624643,2.6040585293223477e-10
0.7236180904522613,1.2772827422236719,1.2772827423695734,-1.1422804697312177e-08
0.7286432160804021,1.2885522114623782,1.2885522114576013,3.7071416612204356e-10
0.7336683417085427,1.2998782359039909,1.2998782360576935,-1.1824384925801516e-08
0.7386934673366834,1.311261452619822,1.3112614526135769,4.762762258948119e-10
0.7437185929648241,1.3227025031841428,1.3227025033458462,-1.2225221997675378e-08
0.7487437185929648,1.3342020363245295,1.3342020363168345,5.767459181009396e-10
0.7537688442211056,1.345760705326167,1.3457607054960719,-1.2625183380407904e-08
0.7587939698492463,1.35737917083546,1.3573791708263419,6.717385865800953e-10
0.7638190954773869,1.3690580981120346,1.369058098290342,-1.302409073015898e-08
0.7688442211055276,1.3807981599884587,1.3807981599779533,7.608189707017582e-10
0.7738693467336684,1.3926000339672158,1.392600034154127,-1.3421739813117932e-08
0.7788944723618091,1.4044644053392419,1.404464405327394,8.435853542922629e-10
0.7839195979899498,1.416391964123291,1.4163919643190082,-1.3818012607998644e-08
0.7889447236180904,1.428383408345858,1.4283834083327234,9.195433409900573e-10
0.7939698492462312,1.4404394408204904,1.4404394410252168,-1.4212777863316255e-08
0.7989949748743719,1.4525607725915213,1.452560772577166,9.882673399567292e-10
0.8040201005025126,1.4647481195510428,1.4647481197649808,-1.4605786179684583e-08
0.8090452261306533,1.4770022060487036,1.4770022060332049,1.0493358344665028e-09
0.8140703517587939,1.4893237613442376,1.48932376156759,-1.499690352169966e-08
0.8190954773869347,1.5017135233854029,1.5017135233688514,1.102169397701521e-09
0.8241206030150754,1.5141722350941382,1.5141722353271083,-1.5385970118216686e-08
0.8291457286432161,1.5267006483145285,1.5267006482970267,1.1463791427820787e-09
0.8341708542713568,1.539299519930869,1.5392995201736597,-1.5772802711261538e-08
0.8391959798994975,1.551969615987335,1.5519696159690013,1.1813233165652503e-09
0.8442211055276382,1.564711707636446,1.564711707889261,-1.6157281808977157e-08
0.8492462311557789,1.577526575431894,1.5775265754128602,1.206551054722632e-09
0.8542713567839196,1.5904150051061272,1.5904150053691686,-1.653916528567317e-08
0.8592964824120604,1.6033777920375643,1.6033777920179793,1.221483819078799e-09
0.864321608040201,1.6164157368562646,1.6164157371297356,-1.6918359387523034e-08
0.8693467336683417,1.6295296500864884,1.6295296500665177,1.2255494563196262e-09
0.8743718592964824,1.642720347579691,1.642720347863794,-1.729466392417664e-08
0.8793969849246231,1.6559886553331207,1.6559886553129477,1.2181831280862092e-09
0.8844221105527639,1.6693354047496547,1.669335405044591,-1.7667887275111e-08
0.8894472361809045,1.6827614376328355,1.6827614376126632,1.1987622141405698e-09
0.8944723618090452,1.696267601273367,1.6962676015793385,-1.8037924564348236e-08
0.8994974874371859,1.7098547536206823,1.7098547536007334,1.1667032742789871e-09
0.9045226130653267,1.7235237581962333,1.7235237585134398,-1.840453209510447e-08
0.9095477386934674,1.7372754894413585,1.737275489421878,1.121319986259948e-09
0.914572864321608,1.7511108274578473,1.7511108277864893,-1.8767630082901402e-08
0.9195979899497487,1.7650306635315154,1.7650306635127713,1.061971202927819e-09
0.9246231155778895,1.779035894700887,1.7790358950411638,-1.912702810876052e-08
0.9296482412060302,1.7931274294555166,1.7931274294378001,9.880220806902194e-10
0.9346733668341709,1.8073061821340193,1.807306182486129,-1.9482569039085606e-08
0.9396984924623115,1.8215730787957856,1.8215730787794142,8.987478411842004e-10
0.9447236180904522,1.8359290514499904,1.83592905181413,-1.9834078391882026e-08
0.949748743718593,1.8503750440989282,1.8503750440842475,7.933905694501443e-10
0.9547738693467337,1.8649120068000722,1.864912007176438,-2.0181425501268987e-08
0.9597989949748744,1.8795409018788074,1.8795409018661902,6.712937490813547e-10
0.964824120603015,1.8942626978260682,1.8942626982148552,-2.0524450117633123e-08
0.9698492462311558,1.909078375677784,1.909078375667634,5.316755513918272e-10
0.9748743718592965,1.9239889227511047,1.923988923152506,-2.086297648429928e-08
0.9798994974874372,1.9389953391873698,1.938995339180122,3.7378934352789953e-10
0.9849246231155779,1.9540986315304525,1.9540986319446598,-2.1196848937224065e-08
0.9899497487437187,1.9692998194295392,1.9692998194256628,1.9684431362573054e-10
0.9949748743718593,1.9845999290636578,1.9845999294908614,-2.1525930716601935e-08
1.0,2.0000000000000004,2.0,2.220446049250313e-14
